Sid,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,B_11,B_12,B_13,B_14,B_15
SQHI-1,0.571428571,0.535714286,0.267857143,0.410714286,0.178571429,0.392857143,0.428571429,0.660714286,0.285714286,0.339285714,0.535714286,0.589285714,0.714285714,1,0.589285714
SQHI-2,0.589285714,0.482142857,0.535714286,0.428571429,0.357142857,0.464285714,0.785714286,0.714285714,0.464285714,0.553571429,0.357142857,0.75,0.767857143,0.196428571,0.053571429
SQHI-3,0.357142857,0.178571429,0.571428571,0.589285714,0.464285714,0.214285714,0.357142857,0.392857143,0.392857143,0.464285714,0.785714286,0.410714286,0.446428571,0.964285714,0.910714286
SQHI-4,0.446428571,0.178571429,0.678571429,0.660714286,0.410714286,0.303571429,0.535714286,0.678571429,0.535714286,0.625,0.696428571,0.517857143,0.607142857,0.446428571,0.178571429
SQHI-5,0.857142857,0.660714286,0.321428571,0.25,0.107142857,0.696428571,0.482142857,0.785714286,0.303571429,0.464285714,0.375,0.785714286,0.625,0.678571429,0.107142857
SQHI-6,0.839285714,0.660714286,0.321428571,0.25,0.107142857,0.660714286,0.625,0.767857143,0.214285714,0.446428571,0.410714286,0.928571429,0.785714286,0.392857143,0.089285714
SQHI-7,0.428571429,0.285714286,0.303571429,0.535714286,0.107142857,0.232142857,0.321428571,0.607142857,0.25,0.285714286,0.875,0.607142857,0.803571429,0.964285714,0.892857143
SQHI-8,0.517857143,0.375,0.410714286,0.357142857,0.160714286,0.25,0.642857143,0.75,0.321428571,0.5,0.732142857,0.696428571,0.839285714,0.714285714,0.232142857
SQHI-9,0.553571429,0.232142857,0.714285714,0.571428571,0.339285714,0.053571429,0.785714286,0.678571429,0.625,0.625,0.428571429,0.660714286,0.696428571,0.321428571,0.214285714
SQHI-10,0.428571429,0.357142857,0.696428571,0.732142857,0.482142857,0.232142857,0.464285714,0.696428571,0.625,0.589285714,0.589285714,0.571428571,0.75,0.25,0.035714286
SQHI-11,0.678571429,0.553571429,0.339285714,0.285714286,0.107142857,0.517857143,0.607142857,0.821428571,0.321428571,0.446428571,0.535714286,0.803571429,0.696428571,0.625,0.160714286
SQHI-12,0.410714286,0.285714286,0.696428571,0.482142857,0.410714286,0.214285714,0.642857143,0.625,0.732142857,0.785714286,0.553571429,0.678571429,0.714285714,0.25,0.017857143
SQHI-13,0.267857143,0.160714286,0.517857143,0.732142857,0.285714286,0.035714286,0.410714286,0.625,0.25,0.535714286,0.785714286,0.553571429,0.696428571,0.910714286,0.732142857
SQHI-14,0.607142857,0.571428571,0.535714286,0.285714286,0.142857143,0.410714286,0.660714286,0.821428571,0.321428571,0.625,0.285714286,0.714285714,0.803571429,0.660714286,0.053571429
SQHI-15,0.392857143,0.303571429,0.428571429,0.625,0.321428571,0.142857143,0.232142857,0.571428571,0.321428571,0.392857143,0.803571429,0.482142857,0.75,1,0.732142857
SQHI-16,0.571428571,0.446428571,0.5,0.428571429,0.267857143,0.321428571,0.714285714,0.607142857,0.553571429,0.589285714,0.75,0.678571429,0.589285714,0.267857143,0.214285714
SQHI-17,0.482142857,0.357142857,0.392857143,0.232142857,0.160714286,0.303571429,0.553571429,0.517857143,0.392857143,0.535714286,0.714285714,0.642857143,0.714285714,0.696428571,0.803571429
SQHI-18,0.553571429,0.410714286,0.535714286,0.428571429,0.142857143,0.285714286,0.625,0.714285714,0.125,0.446428571,0.714285714,0.625,0.875,0.678571429,0.339285714
SQHI-19,0.357142857,0.25,0.392857143,0.714285714,0.392857143,0.232142857,0.392857143,0.517857143,0.410714286,0.446428571,0.678571429,0.446428571,0.625,0.821428571,0.821428571
SQHI-20,0.160714286,0.107142857,0.5,0.553571429,0.625,0.035714286,0.5,0.339285714,0.642857143,0.607142857,0.696428571,0.285714286,0.535714286,0.910714286,1
SQHI-21,0.75,0.75,0.321428571,0.160714286,0.125,0.75,0.642857143,0.785714286,0.25,0.410714286,0.321428571,0.821428571,0.785714286,0.517857143,0.107142857
SQHI-22,0.089285714,0.142857143,0.571428571,0.767857143,0.678571429,0.035714286,0.339285714,0.428571429,0.482142857,0.410714286,0.857142857,0.232142857,0.589285714,0.928571429,0.946428571
SQHI-23,0.517857143,0.357142857,0.392857143,0.482142857,0.053571429,0.25,0.571428571,0.839285714,0.142857143,0.607142857,0.535714286,0.660714286,0.892857143,0.803571429,0.392857143
SQHI-24,0.732142857,0.625,0.321428571,0.267857143,0.053571429,0.535714286,0.625,0.767857143,0.232142857,0.410714286,0.428571429,0.839285714,0.821428571,0.767857143,0.071428571
SQHI-25,0.607142857,0.5,0.357142857,0.285714286,0.053571429,0.375,0.517857143,0.714285714,0.196428571,0.5,0.625,0.732142857,0.803571429,0.75,0.482142857
SQHI-26,0.642857143,0.482142857,0.25,0.178571429,0.035714286,0.464285714,0.482142857,0.839285714,0.142857143,0.375,0.517857143,0.803571429,0.803571429,0.892857143,0.589285714
SQHI-27,0.857142857,0.839285714,0.392857143,0.339285714,0.178571429,0.678571429,0.535714286,0.696428571,0.214285714,0.482142857,0.392857143,0.678571429,0.660714286,0.535714286,0.017857143
SQHI-28,0.375,0.107142857,0.678571429,0.553571429,0.321428571,0.178571429,0.678571429,0.75,0.625,0.678571429,0.714285714,0.5,0.785714286,0.428571429,0.125
SQHI-30,0.625,0.785714286,0.5,0.303571429,0.339285714,0.678571429,0.678571429,0.696428571,0.25,0.535714286,0.25,0.839285714,0.75,0.25,0.017857143
SQHI-31,0.517857143,0.446428571,0.482142857,0.428571429,0.232142857,0.232142857,0.571428571,0.785714286,0.392857143,0.5,0.714285714,0.678571429,0.892857143,0.464285714,0.160714286
SQHI-32,0.232142857,0.107142857,0.553571429,0.767857143,0.321428571,0.035714286,0.357142857,0.732142857,0.339285714,0.5,0.857142857,0.553571429,0.857142857,0.857142857,0.428571429
SQHI-33,0.625,0.535714286,0.571428571,0.375,0.232142857,0.482142857,0.660714286,0.714285714,0.517857143,0.5,0.303571429,0.660714286,0.678571429,0.571428571,0.071428571
SQHI-34,0.392857143,0.125,0.75,0.705357143,0.410714286,0.160714286,0.375,0.714285714,0.392857143,0.642857143,0.580357143,0.696428571,0.928571429,0.535714286,0.089285714
SQHI-35,0.276785714,0.196428571,0.392857143,0.357142857,0.482142857,0.223214286,0.464285714,0.535714286,0.830357143,0.651785714,0.839285714,0.482142857,0.732142857,0.553571429,0.482142857
SQHI-36,0.339285714,0.178571429,0.446428571,0.660714286,0.285714286,0.089285714,0.428571429,0.678571429,0.375,0.392857143,0.821428571,0.5,0.803571429,0.785714286,0.714285714
SQHI-37,0.464285714,0.330357143,0.5,0.446428571,0.125,0.366071429,0.482142857,0.642857143,0.3125,0.473214286,0.446428571,0.732142857,0.767857143,0.964285714,0.446428571
SQHI-38,0.723214286,0.776785714,0.214285714,0.276785714,0.071428571,0.767857143,0.339285714,0.607142857,0.125,0.214285714,0.526785714,0.696428571,0.696428571,1,0.464285714
SQHI-39,0.535714286,0.5625,0.482142857,0.267857143,0.089285714,0.330357143,0.767857143,0.767857143,0.276785714,0.669642857,0.589285714,0.75,0.821428571,0.553571429,0.035714286
SQHI-40,0.5625,0.607142857,0.535714286,0.357142857,0.178571429,0.553571429,0.625,0.767857143,0.383928571,0.625,0.321428571,0.75,0.714285714,0.482142857,0.035714286
SQHI-41,0.607142857,0.410714286,0.357142857,0.303571429,0.071428571,0.401785714,0.821428571,0.785714286,0.375,0.616071429,0.5,0.785714286,0.875,0.482142857,0.107142857
